id,ffold,age,child.present,district,contact.time.gte.60.min,contact.time.gte.60.max,contact.age.lte.5.min,contact.age.5.to.19.min,contact.age.20.to.64.min,contact.age.gte.65.min,contact.age.lte.5.max,contact.age.5.to.19.max,contact.age.20.to.64.max,contact.age.gte.65.max,location.min,location.max,contact.close.min,contact.close.max,contact.all.total.min,contact.all.total.max,contact.time.gte.10.min,contact.time.gte.30.min,contact.age.lte.19.min,contact.age.lt.65.min,contact.time.gte.10.max,contact.time.gte.30.max,contact.age.lte.19.max,contact.age.lt.65.max,contact.age.ave.min,contact.time.min.min,contact.age.ave.max,contact.time.min.max
S0900010,0,72.29842574,0,HK Island,9,9,0,0,4,6,0,0,4,6,4,4,1,1,10,10,9,9,0,4,9,9,0,4,47,54,47,54
S0900011,0,76.3449692,0,HK Island,1,1,0,0,0,3,0,0,0,3,2,3,0,0,3,3,1,1,0,0,1,1,0,0,65,20,65,20
S0900032,0,72.37782341,0,HK Island,3,4,0,1,5,1,0,2,5,1,4,6,3,4,7,8,3,3,1,6,4,4,2,7,24.42857143,25.71428571,22.125,30
S0900040,1,18.72142368,1,KLN East,3,3,0,23,2,2,0,23,2,2,3,3,0,0,27,27,27,3,23,25,27,3,23,25,11.40740741,15.55555556,11.40740741,15.55555556
S0900043,0,45.25393566,1,KLN East,8,8,0,1,11,7,0,1,11,7,2,3,12,13,19,19,18,8,1,12,18,8,1,12,35.84210526,30.52631579,35.84210526,30.52631579
S0900053,0,61.3798768,0,KLN East,0,0,0,0,122,0,0,0,122,0,3,4,0,100,122,122,1,0,0,122,1,0,0,122,20,0.081967213,20,0.081967213
S0900070,0,26.34907598,0,KLN East,33,33,0,0,35,0,0,0,35,0,3,3,5,5,35,35,33,33,0,35,33,33,0,35,20,56.57142857,20,56.57142857
S0900072,0,48.13689254,0,KLN East,1,1,0,2,9,0,0,2,9,0,3,4,2,2,11,11,4,2,2,11,4,2,2,11,17.45454545,10,17.45454545,10
S0900080,0,5.434482759,1,KLN East,24,24,0,2,2,0,0,2,2,0,2,2,3,3,24,24,24,24,2,4,24,24,2,4,13,60,13,60
S0900081,0,7.509924709,1,KLN East,8,8,0,2,3,4,0,2,3,4,2,3,3,3,9,9,8,8,2,5,8,8,2,5,36.88888889,53.33333333,36.88888889,53.33333333
